epoch,accuracy,loss,val_accuracy,val_loss
0,0.7523562908172607,0.5135951638221741,NA,NA
1,0.7556235790252686,0.5037175416946411,NA,NA
2,0.7559515237808228,0.5010714530944824,NA,NA
3,0.7564252018928528,0.49821630120277405,NA,NA
4,0.7564495205879211,0.4962104558944702,NA,NA
5,0.7559515237808228,0.4932902753353119,NA,NA
6,0.7559029459953308,0.4915110766887665,NA,NA
7,0.7561944127082825,0.4887867271900177,NA,NA
8,0.7556478381156921,0.48668596148490906,NA,NA
9,0.7556357383728027,0.4845326244831085,NA,NA
10,0.7546761631965637,0.4827406108379364,NA,NA
11,0.7540567517280579,0.48171266913414,NA,NA
12,0.7541417479515076,0.47953417897224426,NA,NA
13,0.7543603777885437,0.47809383273124695,NA,NA
14,0.752429187297821,0.4771783947944641,NA,NA
15,0.752271294593811,0.47694921493530273,NA,NA
16,0.752113401889801,0.4758549630641937,NA,NA
17,0.7517854571342468,0.47464680671691895,NA,NA
18,0.7527085542678833,0.4739612340927124,NA,NA
19,0.7530729174613953,0.4734344482421875,NA,NA
20,0.7508745193481445,0.47323691844940186,NA,NA
21,0.7515060901641846,0.47300174832344055,NA,NA
22,0.7515789866447449,0.47228822112083435,NA,NA
23,0.7521862983703613,0.47134116291999817,NA,NA
24,0.74952632188797,0.4723092019557953,NA,NA
25,0.7513117790222168,0.47110867500305176,NA,NA
26,0.752319872379303,0.47023943066596985,NA,NA
27,0.7500971555709839,0.4713176190853119,NA,NA
28,0.7513360381126404,0.4700321555137634,NA,NA
29,0.7510566711425781,0.4702981412410736,NA,NA
30,0.7500243186950684,0.4705352783203125,NA,NA
31,0.7493441104888916,0.4708811342716217,NA,NA
32,0.74968421459198,0.4700688421726227,NA,NA
33,0.7498542666435242,0.46944648027420044,NA,NA
34,0.7490404844284058,0.4698637127876282,NA,NA
35,0.7489554286003113,0.46953776478767395,NA,NA
36,0.749793529510498,0.4699280560016632,NA,NA
37,0.7508623600006104,0.4689069390296936,NA,NA
38,0.7489433288574219,0.4693910777568817,NA,NA
39,0.7507652044296265,0.46918392181396484,NA,NA
40,0.7520648241043091,0.46835434436798096,NA,NA
41,0.7491497993469238,0.4691796600818634,NA,NA
42,0.7505587339401245,0.4684770107269287,NA,NA
43,0.7511538863182068,0.46777841448783875,NA,NA
44,0.7502672076225281,0.46871134638786316,NA,NA
45,0.7494898438453674,0.4686321020126343,NA,NA
46,0.7510931491851807,0.4687475264072418,NA,NA
47,0.7490404844284058,0.4689979553222656,NA,NA
48,0.7509959936141968,0.46778249740600586,NA,NA
49,0.7499756813049316,0.4681434631347656,NA,NA
50,0.7506437301635742,0.4676473140716553,NA,NA
51,0.7499150037765503,0.46836450695991516,NA,NA
52,0.7508987784385681,0.4677605926990509,NA,NA
53,0.7502793669700623,0.46856051683425903,NA,NA
54,0.7501943111419678,0.4686093330383301,NA,NA
55,0.7498299479484558,0.4680986702442169,NA,NA
56,0.751797616481781,0.4673205316066742,NA,NA
57,0.7498906850814819,0.46803396940231323,NA,NA
58,0.7507773637771606,0.4674051105976105,NA,NA
59,0.7512510418891907,0.467557430267334,NA,NA
60,0.7499514222145081,0.4677553176879883,NA,NA
61,0.7503522038459778,0.46814584732055664,NA,NA
62,0.7482267022132874,0.46793732047080994,NA,NA
63,0.7500728964805603,0.46684327721595764,NA,NA
64,0.7498663663864136,0.46761155128479004,NA,NA
65,0.7503765225410461,0.46752673387527466,NA,NA
66,0.7505587339401245,0.4672054350376129,NA,NA
67,0.7513481974601746,0.4680452048778534,NA,NA
68,0.7499635815620422,0.46731555461883545,NA,NA
69,0.7506680488586426,0.4674806594848633,NA,NA
70,0.75078946352005,0.46715888381004333,NA,NA
71,0.7499150037765503,0.4673364758491516,NA,NA
72,0.7502429485321045,0.46725496649742126,NA,NA
73,0.7491012215614319,0.46733370423316956,NA,NA
74,0.7509473562240601,0.4673083424568176,NA,NA
75,0.7482874393463135,0.4671255648136139,NA,NA
76,0.7497449517250061,0.4668497145175934,NA,NA
77,0.7495870590209961,0.46716955304145813,NA,NA
78,0.7483967542648315,0.46743401885032654,NA,NA
79,0.75031578540802,0.4667415916919708,NA,NA
80,0.7509716749191284,0.4671054184436798,NA,NA
81,0.7503401041030884,0.46691957116127014,NA,NA
82,0.7502429485321045,0.4672904908657074,NA,NA
83,0.7516154050827026,0.4669167697429657,NA,NA
84,0.7508137822151184,0.46649792790412903,NA,NA
85,0.7497084736824036,0.46703681349754333,NA,NA
86,0.7499150037765503,0.46756064891815186,NA,NA
87,0.74952632188797,0.4671730697154999,NA,NA
88,0.7515182495117188,0.4664202034473419,NA,NA
89,0.7501943111419678,0.4670661389827728,NA,NA
90,0.7501093149185181,0.4671785235404968,NA,NA
91,0.7514453530311584,0.4666016399860382,NA,NA
92,0.7495384812355042,0.4664781391620636,NA,NA
93,0.75,0.4662630259990692,NA,NA
94,0.74936842918396,0.4663015604019165,NA,NA
95,0.7507652044296265,0.46658772230148315,NA,NA
96,0.750522255897522,0.46648654341697693,NA,NA
97,0.74984210729599,0.4669896960258484,NA,NA
98,0.7500485777854919,0.4670574963092804,NA,NA
99,0.75031578540802,0.46642595529556274,NA,NA
